Date,Tweet,Close.
2013-02-26,"In a few days Congress might allow a series of arbitrary budget cuts to take placeâ€”known in Washington as 'the sequester.'â€ #JobsOverCuts,https://twitter.com/BarackObama/status/306471123091075073,272,114,
2013/02/26_10:23,https://twitter.com/BarackObama,Watch live: President Obama speaks in Virginia about why Congress should prevent severe spending cuts. http://OFA.BO/6fwPR7Â  #JobsOverCuts,https://twitter.com/BarackObama/status/306469445067489280,219,123,
2013/02/26_09:16,https://twitter.com/BarackObama,Make your voice heard: Share why we can't afford to lay off teachers & cut vital services for our kids. http://OFA.BO/tgAky9Â  #JobsOverCuts,https://twitter.com/BarackObama/status/306452703758913536,552,199,
2013/02/26_08:30,https://twitter.com/BarackObama,Worth a read and RT: President Obama's plan to prevent severe budget cuts vs. Republican inaction. http://OFA.BO/A2XSkgÂ  #JobsOverCuts,https://twitter.com/BarackObama/status/306441214465568768,517,156,
2013/02/25_16:43,https://twitter.com/BarackObama,Congress should focus on creating jobs not cutting vital services for middle-class families. #JobsNotCutspic.twitter.com/8aijgLKkSY,https://twitter.com/BarackObama/status/306202725467713536,1424,515,https://pbs.twimg.com/media/BD_ZwalCcAA4dIu.jpg
2013/02/25_14:23,https://twitter.com/BarackObama,Share why your family can't afford severe spending cuts to vital services for kids and seniors: http://OFA.BO/QxoFAfÂ  #JobsNotCuts,https://twitter.com/BarackObama/status/306167567293222912,369,168,
2013/02/25_11:56,https://twitter.com/BarackObama,RT if you agree: It's time for Republicans in Congress to protect middle-class familiesâ€”not tax loopholes for millionaires. #JobsNotCuts,https://twitter.com/BarackObama/status/306130685939298304,3020,611,
2013/02/25_11:30,https://twitter.com/BarackObama,FACT: If Congress refuses to act by Friday more than 370000 mentally ill children and adults will go without treatment. #JobsNotCuts,https://twitter.com/BarackObama/status/306123962293825536,1345,261,
2013/02/25_11:09,https://twitter.com/BarackObama,FACT: Automatic spending cuts would eliminate more than 4 million meals for sick and homebound seniors if Congress doesn't act. #JobsNotCuts,https://twitter.com/BarackObama/status/306118779514007553,645,179,
2013/02/25_10:43,https://twitter.com/BarackObama,FACT: If Congress doesn't act small business lending will decrease by $540 millionâ€”eliminating financing to hire more workers. #JobsNotCuts,https://twitter.com/BarackObama/status/306112269329260544,541,185,
2013/02/25_10:22,https://twitter.com/BarackObama,FACT: Impending spending cuts would end programs for nearly 1.2 million disadvantaged students if Congress doesn't act. #JobsNotCuts,https://twitter.com/BarackObama/status/306106863689281536,558,167,
2013/02/25_09:58,https://twitter.com/BarackObama,FACT: More than 800000 defense employees will be forced to take unpaid leave if Congress doesn't stop impending spending cuts. #JobsNotCuts,https://twitter.com/BarackObama/status/306100962337112064,739,183,
2013/02/25_09:33,https://twitter.com/BarackObama,FACT: If Congress doesn't act by Friday automatic spending cuts will threaten more than 30000 teacher and school staff jobs. #JobsNotCuts,https://twitter.com/BarackObama/status/306094597048766465,1514,244,
2013/02/25_09:19,https://twitter.com/BarackObama,Nothing shrinks the deficit faster than a growing economy that creates good middle-class jobs."" http://OFA.BO/uQZ4ktÂ  #JobsNotCuts","1,496.94"
2013-02-24,Happy #Oscars night.pic.twitter.com/xRO5hEBoHS,
2013-02-23,Check out highlights of yesterday's National Day of Action to reduce gun violenceâ€”then tell Congress #WeDemandAVote: http://OFA.BO/GtiXbmÂ ,
2013-02-23,These cuts donâ€™t have to happen. Congress can turn them off anytime with just a little compromise. http://OFA.BO/5e7sWzÂ  #JobsNow,
2013-02-22,Thousands of supporters around the country spoke out today and called on Congress to reduce gun violence. Join them: http://OFA.BO/EBmUShÂ ,"1,515.60"
2013-02-22,Newsflash for Congress: Universal background checks for gun sales should not be controversial. #WeDemandAVotepic.twitter.com/jsAk2iS7ZB,"1,515.60"
2013-02-22,For Gabby and every victim of gun violence #WeDemandAVote:pic.twitter.com/ukxvFiv0TZ,"1,515.60"
2013-02-22,RT if you agree: The number of guns sold without a background check should be zero. #WeDemandAVotepic.twitter.com/HDhk5Ydy2m,"1,515.60"
2013-02-22,The President said to me 'You can't change the past Sami but you can change the future.' http://OFA.BO/kAADaiÂ  #WeDemandAVote,"1,515.60"
2013-02-22,If we save even one life from gun violence it's worth it. Tell Congress: #WeDemandAVote. http://OFA.BO/uJymNXÂ pic.twitter.com/4JQSrrnNCC,"1,515.60"
2013-02-22,Follow @OFA today to see what supporters around the country are doing to show Congress it's time to reduce gun violence. #WeDemandAVote,"1,515.60"
2013-02-22,Today is the National Day of Action to reduce gun violence. Use #WeDemandAVote to share why now is the time for Congress to act.,"1,515.60"
2013-02-21,RT if you agree: If we can save even one child from gun violence we have an obligation to try. #WeDemandAVotepic.twitter.com/Pe7OJoJj0G,"1,502.42"
2013-02-21,Watch Sami's story about losing his dad in a mass shootingâ€”then find out how you can help reduce gun violence:http://OFA.BO/SJ2HSJÂ ,"1,502.42"
2013-02-21,We all need to speak up for Congress to take action. Use #WeDemandAVote to share why it's time to reduce gun violence and protect our kids.,"1,502.42"
2013-02-21,If something can harm or kill tens of civilians in quick succession it does not belong in anyone's home. â€”Calvin A. #WeDemandAVote,"1,502.42"
2013-02-21,Stricter gun laws were needed long before my son's murder and they are definitely needed now. http://OFA.BO/GMFYhbÂ  #WeDemandAVote,"1,502.42"
2013-02-21,I am a hunter of small game and own a shotgun to do so. But it is time to find a way to stop gun violence. â€”Gary F. #WeDemandAVote,"1,502.42"
2013-02-21,Stop gun violence so no other mother & father feel the pain my parents feel of having to bury their only son. â€”Cherelle C. #WeDemandAVote,"1,502.42"
2013-02-21,I am lucky I survived that day. Some of my classmates were not as lucky. This needs to stop. http://OFA.BO/NP5CNRÂ  #WeDemandAVote,"1,502.42"
2013-02-21,Now is the time to reduce gun violence. Share why you support the President's plan to make it happen: http://OFA.BO/VrDdqYÂ  #WeDemandAVote,"1,502.42"
2013-02-20,May I have this dance?pic.twitter.com/gf9q84vhl1,"1,511.95"
2013-02-20,Matt's a hunter and NRA member who supports Obama's plan to reduce gun violence: http://OFA.BO/CmNx6pÂ pic.twitter.com/e6K2q7UO,"1,511.95"
2013-02-20,#WeDemandAVote for them:pic.twitter.com/8oyTD7XF,"1,511.95"
2013-02-20,RT if you agree: Congress should make our communities and our kids safer by requiring background checks for all gun sales. #WeDemandAVote,"1,511.95"
